,tconst,primaryTitle,startYear,genres,directors,cast,averageRating,numVotes,main_dir,dirname
126631,tt0324226,Theerthadanam,2001,"Drama,Romance",nm0437789,"['nm0419688', 'nm0007124', 'nm1267637', 'nm1226443', 'nm5577715']",8.2,52,nm0437789,B. Kannan
91678,tt0187104,A Bravo of the 1900's,1971,Drama,nm0615511,"['nm1012925', 'nm0029176', 'nm1016284', 'nm0196179', 'nm0261230']",7.4,14,nm0615511,Lautaro Murúa
210440,tt1630603,Kooky,2010,"Animation,Comedy,Family",nm0841232,"['nm0006664', 'nm4273317', 'nm0532713', 'nm0190821', 'nm0529432']",7.2,1285,nm0841232,Jan Sverák
188792,tt1334288,A Beautiful Voyage,2008,Drama,nm0315865,"['nm0159129', 'nm0785264', 'nm1343002', 'nm3222487', 'nm0537581']",7.2,32,nm0315865,Khaled Ghorbal
169567,tt10808832,Let Them All Talk,2020,"Comedy,Drama",nm0001752,"['nm0000658', 'nm2110418', 'nm0001848', 'nm0280199', 'nm0000298']",6.1,13274,nm0001752,Steven Soderbergh
174607,tt1142821,Les contes de la nuit,1992,"Animation,Family",nm0643664,"['nm1714629', 'nm3195978', 'nm3098015', 'nm0249468', 'nm0418708']",7.5,26,nm0643664,Michel Ocelot
187953,tt13260630,Adeline,2022,Drama,nm0416537,"['nm0773884', 'nm0002003', 'nm2814621', 'nm8149056', 'nm9321321']",6.7,292,nm0416537,Greg James
64563,tt0108039,"Sandra, c'est la vie",1992,Drama,nm0652860,"['nm0299305', 'nm0835916', 'nm0959897', 'nm0886125', 'nm0116254']",6.3,11,nm0652860,Dominique Othenin-Girard
228961,tt2113709,Lösegeld,2012,Crime,nm0906114,"['nm0559052', 'nm1015765', 'nm0508996', 'nm0092141', 'nm2475729']",6.6,116,nm0906114,Stephan Wagner
28318,tt0055793,Big Red,1962,"Adventure,Drama,Family",nm0865709,"['nm0682074', 'nm0668171', 'nm0312783', 'nm0078379', 'nm0100435']",6.3,857,nm0865709,Norman Tokar
206091,tt1554977,God Send Me a Man,2009,"Comedy,Drama","nm2196789,nm2271129","['nm2725757', 'nm0002101', 'nm4784481', 'nm4784413', 'nm4784480']",3.7,110,nm2196789,Emmbre Perry
77394,tt0136716,Der aufhaltsame Aufstieg des Arturo Ui,1996,"Drama,History",nm0618179,"['nm0943487', 'nm0079916', 'nm0818204', 'nm0782509', 'nm0514034']",8.3,12,nm0618179,Heiner Müller
145117,tt0431230,Linggo lang ang pahinga... Dapat lang!,1997,Drama,nm0746889,"['nm0076506', 'nm0466582', 'nm0407920', 'nm1219191', 'nm1597251']",8.0,7,nm0746889,Humilde 'Meek' Roxas
228876,tt2112127,Christmas Magic,2011,"Drama,Family,Fantasy",nm0103498,"['nm0095751', 'nm0569295', 'nm0569787', 'nm4825013', 'nm0667738']",6.6,1626,nm0103498,John Bradshaw
146985,tt0444182,Days of Glory,2006,"Action,Drama,War",nm0098953,"['nm0618651', 'nm0954704', 'nm0098793', 'nm0213354', 'nm0086992']",7.0,15245,nm0098953,Rachid Bouchareb
11613,tt0032138,The Wizard of Oz,1939,"Adventure,Family,Fantasy","nm0281808,nm0896542","['nm0000023', 'nm0604656', 'nm0001961', 'nm0481618', 'nm0355095']",8.1,435488,nm0281808,Victor Fleming
24755,tt0050973,The Silken Affair,1956,"Comedy,Crime,Romance",nm0446053,"['nm0000057', 'nm0656180', 'nm0820105', 'nm0833152', 'nm0405035']",5.6,56,nm0446053,Roy Kellino
213961,tt1711456,Angel Dog,2011,"Animation,Comedy,Drama",nm2401477,"['nm2788999', 'nm0924784', 'nm1285227', 'nm1310132', 'nm0226844']",5.7,465,nm2401477,Robin Conly
213756,tt17066764,Une fleur à la bouche,2022,Drama,nm3660287,"['nm0699757', 'nm8437705']",7.0,20,nm3660287,Eric Baudelaire
228064,tt2093968,Buoy,2012,Drama,nm4741150,"['nm0215682', 'nm0392073']",7.9,24,nm4741150,Steven Doughton
255911,tt3007826,Bloody Doll,2014,Horror,nm5758229,"['nm3137135', 'nm4577785', 'nm2032154', 'nm9208629', 'nm9208630']",7.5,21,nm5758229,Bing Wang
165169,tt10281468,Ne Olur Gitme,2019,Drama,nm5642112,"['nm1758615', 'nm5543908', 'nm4907732', 'nm1758556', 'nm0758487']",2.3,31,nm5642112,Yüksel Torun
134692,tt0366845,On purge bébé,1979,Comedy,nm0399465,"['nm0201638', 'nm0088396', 'nm0782564', 'nm0670964', 'nm0310272']",7.6,10,nm0399465,Jeannette Hubert
40589,tt0072785,"Cry, Onion",1975,"Comedy,Western",nm0144758,"['nm0626259', 'nm0001330', 'nm0000842', 'nm0169358', 'nm0025821']",5.4,768,nm0144758,Enzo G. Castellari
81723,tt0154998,Pataal Bhairavi,1985,"Drama,Fantasy",nm0052630,"['nm0420090', 'nm0419685', 'nm0695199', 'nm0451166', 'nm0434318']",5.7,97,nm0052630,K. Bapaiah
78755,tt0140813,Apradhi,1949,"Crime,Drama,Thriller",nm0677501,"['nm0534870', 'nm0802200', 'nm0659240', 'nm0695199', 'nm0244883']",6.6,15,nm0677501,Yeshwant Pethkar
9423,tt0028861,Il feroce Saladino,1937,Comedy,nm0094801,"['nm0615604', 'nm0885098', 'nm0136833', 'nm0030601', 'nm0243894']",6.4,31,nm0094801,Mario Bonnard
32704,tt0061839,Jet Generation,1968,"Drama,Romance",nm0772905,"['nm0595430', 'nm0296064', 'nm0236647', 'nm0855354', 'nm0088355']",5.0,129,nm0772905,Eckhart Schmidt
77714,tt0137889,Krach im Hinterhaus,1949,Comedy,nm0462163,"['nm0197108', 'nm0071405', 'nm0379024', 'nm0530422', 'nm0741719']",7.4,7,nm0462163,Erich Kobler
267832,tt3671840,Barney: Happy Birthday Barney!,2014,Family,"nm0391828,nm0746812",['nm10798978'],4.3,11,nm0391828,Fred Holmes
191708,tt1368166,Égalité for All: Toussaint Louverture and the Haitian Revolution,2009,"Documentary,History",nm0908074,"['nm0200623', 'nm1108945', 'nm5291027']",7.2,31,nm0908074,Noland Walker
226040,tt2040578,Alien Uprising,2012,"Comedy,Horror,Sci-Fi",nm2403079,"['nm2929749', 'nm0793532', 'nm0112492', 'nm1792652', 'nm3151284']",3.0,3745,nm2403079,Dominic Burns
100760,tt0218547,La reina de la opereta,1946,"Drama,Musical,Romance",nm0070262,"['nm0812937', 'nm0959596', 'nm0661038', 'nm0017771', 'nm0131282']",7.0,19,nm0070262,José Benavides hijo
232819,tt21962544,Where Did I Leave My Purdah,2020,Drama,nm1338698,"['nm3283923', 'nm4818712', 'nm0244890', 'nm3557356', 'nm4668164']",3.2,9,nm1338698,Mahesh Dattani
134142,tt0363881,Blind Date,2003,"Comedy,Romance",nm0100509,"['nm1368139', 'nm1366911', 'nm1596878', 'nm1596798', 'nm1597230']",2.7,18,nm0100509,Haim Bouzaglo
16308,tt0038870,Cross of Love,1946,"Drama,Romance",nm0876343,"['nm0513039', 'nm0855002', 'nm0758744', 'nm0876740', 'nm1560116']",7.0,238,nm0876343,Teuvo Tulio
5129,tt0021814,Dracula,1931,"Drama,Fantasy,Horror","nm0115218,nm0005713","['nm0000509', 'nm0151377', 'nm0543115', 'nm0296859', 'nm0888000']",7.4,60146,nm0115218,Tod Browning
83214,tt0159662,Politseiskiye i vory,1998,"Comedy,Crime,Drama",nm0234483,"['nm0451547', 'nm0627511', 'nm0875548', 'nm0323293', 'nm0954479']",5.9,125,nm0234483,Nikolay Dostal
18797,tt0042527,Großstadtnacht,1950,Romance,nm0938243,"['nm0016208', 'nm0465323', 'nm0088177', 'nm0871218', 'nm0299459']",5.1,8,nm0938243,Hans Wolff
